filepath,speaker_id,sentence_id,dialect_id
datasets\TIMIT\TRAIN\DR1\FDAW0\SA1.WAV,fdaw0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SA2.WAV,fdaw0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SI1271.WAV,fdaw0,si1271,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SI1406.WAV,fdaw0,si1406,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SI2036.WAV,fdaw0,si2036,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SX146.WAV,fdaw0,sx146,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SX236.WAV,fdaw0,sx236,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SX326.WAV,fdaw0,sx326,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SX416.WAV,fdaw0,sx416,dr1
datasets\TIMIT\TRAIN\DR1\FDAW0\SX56.WAV,fdaw0,sx56,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SA1.WAV,fdml0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SA2.WAV,fdml0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SI1149.WAV,fdml0,si1149,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SI1779.WAV,fdml0,si1779,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SI2075.WAV,fdml0,si2075,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SX159.WAV,fdml0,sx159,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SX249.WAV,fdml0,sx249,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SX339.WAV,fdml0,sx339,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SX429.WAV,fdml0,sx429,dr1
datasets\TIMIT\TRAIN\DR1\FDML0\SX69.WAV,fdml0,sx69,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SA1.WAV,fecd0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SA2.WAV,fecd0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SI1418.WAV,fecd0,si1418,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SI2048.WAV,fecd0,si2048,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SI788.WAV,fecd0,si788,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SX158.WAV,fecd0,sx158,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SX248.WAV,fecd0,sx248,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SX338.WAV,fecd0,sx338,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SX428.WAV,fecd0,sx428,dr1
datasets\TIMIT\TRAIN\DR1\FECD0\SX68.WAV,fecd0,sx68,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SA1.WAV,fetb0,sa1,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SA2.WAV,fetb0,sa2,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SI1148.WAV,fetb0,si1148,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SI1778.WAV,fetb0,si1778,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SI518.WAV,fetb0,si518,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SX158.WAV,fetb0,sx158,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SX248.WAV,fetb0,sx248,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SX338.WAV,fetb0,sx338,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SX428.WAV,fetb0,sx428,dr1
datasets\TIMIT\TRAIN\DR1\FETB0\SX68.WAV,fetb0,sx68,dr1
